Datetime,Water Level (m)
2024-10-27 00:00:00,0.38350126
2024-10-27 01:00:00,0.6587439
2024-10-27 02:00:00,0.84994304
2024-10-27 03:00:00,0.9376705
2024-10-27 04:00:00,0.83350253
2024-10-27 05:00:00,0.5515198
2024-10-27 06:00:00,0.21393837
2024-10-27 07:00:00,-0.10340308
2024-10-27 08:00:00,-0.3856997
2024-10-27 09:00:00,-0.5977221
2024-10-27 10:00:00,-0.6303602
2024-10-27 11:00:00,-0.35615084
2024-10-27 12:00:00,0.020901572
2024-10-27 13:00:00,0.41393533
2024-10-27 14:00:00,0.7168879
2024-10-27 15:00:00,0.9397127
2024-10-27 16:00:00,0.9739357
2024-10-27 17:00:00,0.7654753
2024-10-27 18:00:00,0.4437824
2024-10-27 19:00:00,0.1121949
2024-10-27 20:00:00,-0.18550171
2024-10-27 21:00:00,-0.43559483
2024-10-27 22:00:00,-0.57298
2024-10-27 23:00:00,-0.41332796
2024-10-28 00:00:00,-0.054354638
2024-10-28 01:00:00,0.37957668
2024-10-28 02:00:00,0.7390975
2024-10-28 03:00:00,0.99259454
2024-10-28 04:00:00,1.0300443
2024-10-28 05:00:00,0.8133501
2024-10-28 06:00:00,0.4758519
2024-10-28 07:00:00,0.119948946
2024-10-28 08:00:00,-0.20340317
2024-10-28 09:00:00,-0.48581105
2024-10-28 10:00:00,-0.68868506
2024-10-28 11:00:00,-0.64795303
2024-10-28 12:00:00,-0.2936169
2024-10-28 13:00:00,0.16756867
2024-10-28 14:00:00,0.61888146
2024-10-28 15:00:00,0.96272683
2024-10-28 16:00:00,1.141766
2024-10-28 17:00:00,1.0647919
2024-10-28 18:00:00,0.75867486
2024-10-28 19:00:00,0.38204363
2024-10-28 20:00:00,0.025096782
2024-10-28 21:00:00,-0.29941663
2024-10-28 22:00:00,-0.55024153
2024-10-28 23:00:00,-0.64452004
2024-10-29 00:00:00,-0.3526485
2024-10-29 01:00:00,0.08144387
2024-10-29 02:00:00,0.55913293
2024-10-29 03:00:00,0.9193112
2024-10-29 04:00:00,1.1068482
2024-10-29 05:00:00,1.0351471
2024-10-29 06:00:00,0.7322593
2024-10-29 07:00:00,0.35636818
2024-10-29 08:00:00,-0.005571679
2024-10-29 09:00:00,-0.33724493
2024-10-29 10:00:00,-0.6033644
2024-10-29 11:00:00,-0.7762587
2024-10-29 12:00:00,-0.54368025
2024-10-29 13:00:00,-0.08236952
2024-10-29 14:00:00,0.4534617
2024-10-29 15:00:00,0.9089689
2024-10-29 16:00:00,1.2161702
2024-10-29 17:00:00,1.2673622
2024-10-29 18:00:00,1.0187588
2024-10-29 19:00:00,0.63564575
2024-10-29 20:00:00,0.24241309
2024-10-29 21:00:00,-0.10991488
2024-10-29 22:00:00,-0.42475656
2024-10-29 23:00:00,-0.6500028
2024-10-30 00:00:00,-0.628553
2024-10-30 01:00:00,-0.25522798
2024-10-30 02:00:00,0.24694645
2024-10-30 03:00:00,0.7319181
2024-10-30 04:00:00,1.0651054
